feature_set,feature_count,n,MAE,RMSE,MAPE_pct,R2
A_weather_only,8,214,3835781.38115314,6280680.5471436875,16.886743369169857,-0.4197091482477522
B_weather_calendar,22,214,2239673.5869957637,3809025.165537233,12.880376559191944,0.47782790934564834
C_add_padma_history,35,214,1691520.99964692,3072372.9899960305,10.147848202267436,0.6602700394645371
D_add_jamuna_history,44,214,1663240.438657927,3061013.140725599,10.108009918077595,0.6627776428497951
E_full_add_toll_history,51,214,1628431.5910217266,3011416.312194743,9.792818454019457,0.6736169707971547
