target,model,horizon_band,MAE,RMSE,MAPE,R2,N
toll,CatBoost,all,2580294.27472131,4479451.959060286,14.157604296923834,0.31402483590555463,6255
traffic,XGBoost,all,2414.7523048748503,4095.503212133532,14.21468875230849,0.5013970004571229,6255
