target,strategy,model,MAE,RMSE,MAPE,R2,N,share_MAE,reconciliation_MAE
jajira_cash,Direct,XGBoost,752424.0892857143,1339019.5853986288,9.530206395213256,0.7316798894536919,224,,
jajira_traffic,Direct,XGBoost,701.1461791992188,1444.15260620199,8.848147479810532,0.7715691924095154,224,,
mawa_cash,Direct,XGBoost,731437.6383928572,1370968.8742491128,8.33894217830464,0.7739099468920109,224,,
mawa_traffic,Direct,XGBoost,749.0884966169085,1553.765491133376,8.877739718495645,0.8007256771253447,224,,
