iter	MAE
0	0.01488836788
1	0.01458198927
2	0.01428918117
3	0.01396919026
4	0.01373807668
5	0.0134657251
6	0.01325677043
7	0.01298086647
8	0.01272776247
9	0.01247876579
10	0.01229200742
11	0.01211890193
12	0.0119457731
13	0.01175732196
14	0.01161232689
15	0.01146877386
16	0.01131166312
17	0.01113888882
18	0.01097901313
19	0.01084812118
20	0.01074833937
21	0.01064359588
22	0.01056273474
23	0.01042006085
24	0.01030175747
25	0.01021836942
26	0.0101251582
27	0.01002887345
28	0.009954891093
29	0.009832990736
30	0.009759083139
31	0.009661292658
32	0.009599175098
33	0.009543868658
34	0.009496967298
35	0.009413954508
36	0.009325821745
37	0.009239364314
38	0.009162200833
39	0.009119755832
40	0.009054969768
41	0.008980859473
42	0.008916711203
43	0.008869514679
44	0.008799969793
45	0.008735941757
46	0.008681945355
47	0.008632961533
48	0.008560533789
49	0.008511554787
50	0.008458312313
51	0.008420852032
52	0.008362680014
53	0.008310598075
54	0.008277985463
55	0.008219560751
56	0.008159158816
57	0.00812916446
58	0.008083504679
59	0.008048072387
60	0.008017271076
61	0.007974226332
62	0.007941080246
63	0.007907426531
64	0.007874835208
65	0.007844708272
66	0.007826430146
67	0.007807063456
68	0.00778153931
69	0.007756263097
70	0.007709610882
71	0.007679119499
72	0.007660066846
73	0.007636920704
74	0.007612323741
75	0.007586943579
76	0.007544435631
77	0.007525109348
78	0.007482441387
79	0.007452994794
80	0.007412397968
81	0.007391964632
82	0.00737988666
83	0.007351422604
84	0.007324188391
85	0.0073167573
86	0.007286287129
87	0.007264065385
88	0.007244045742
89	0.007222018087
90	0.00719523299
91	0.007152891507
92	0.00713351331
93	0.007103172354
94	0.007082836063
95	0.0070485937
96	0.00703279811
97	0.007013159097
98	0.00699020844
99	0.006966054576
100	0.006942079411
101	0.00691969985
102	0.006898893343
103	0.006884564072
104	0.006870242884
105	0.006846494929
106	0.006826599496
107	0.006811510041
108	0.006789516157
109	0.006772753771
110	0.006761867081
111	0.006748796874
112	0.006732323235
113	0.006715847462
114	0.006695560523
115	0.006673013736
116	0.006660420057
117	0.006638970894
118	0.006620391677
119	0.006594526499
120	0.006568431012
121	0.006554243878
122	0.006532914713
123	0.006507309774
124	0.006494369743
125	0.00647266334
126	0.006454962733
127	0.006428268687
128	0.006404849013
129	0.00637885181
130	0.006357136868
131	0.006347262378
132	0.00632906172
133	0.006305248797
134	0.006287083062
135	0.006271234149
136	0.006243429526
137	0.006215880752
138	0.00619453538
139	0.006168195334
140	0.006140189892
141	0.006115537991
142	0.006094903414
143	0.006074560455
144	0.006066574814
145	0.00605247805
146	0.006038573066
147	0.006016624174
148	0.006003077833
149	0.005989403982
150	0.005975764307
151	0.005955625976
152	0.005933897859
153	0.005910602578
154	0.005886694087
155	0.005863615063
156	0.005848798592
157	0.005829700617
158	0.00581550314
159	0.005787036055
160	0.00577185333
161	0.005753798454
162	0.005739556658
163	0.005724715148
164	0.005709118625
165	0.005694102376
166	0.005684026175
167	0.005664077163
168	0.005652377674
169	0.005638027756
170	0.00562797496
171	0.005614346378
172	0.00558133225
173	0.005567469588
174	0.005546409155
175	0.005520447554
176	0.005500580911
177	0.005486442368
178	0.005471303307
179	0.005462577629
180	0.00544490165
181	0.005429712465
182	0.005414240198
183	0.005396151661
184	0.005383335237
185	0.005361922321
186	0.005349210297
187	0.005340392294
188	0.005334246725
189	0.005316578126
190	0.005303126471
191	0.005290688945
192	0.005276426107
193	0.005268046049
194	0.005247780522
195	0.005231440629
196	0.005219913104
197	0.005209293224
198	0.005200682826
199	0.005190171437
200	0.005175801325
201	0.005166854548
202	0.005154537723
203	0.005142277684
204	0.005126950043
205	0.005116993001
206	0.005105254175
207	0.005087241886
208	0.00508277904
209	0.005071727628
210	0.005067822835
211	0.00505498205
212	0.00503934428
213	0.005032869389
214	0.005015331827
215	0.004995289368
216	0.004989245423
217	0.004974156807
218	0.004959338219
219	0.004951027023
220	0.0049392994
221	0.00492910277
222	0.004920306651
223	0.004909271476
224	0.004902146641
225	0.004889544887
226	0.004883622231
227	0.004877338842
228	0.004858324224
229	0.004845520561
230	0.004834994583
231	0.004822000971
232	0.004811402088
233	0.0047975795
234	0.004776560585
235	0.004770234122
236	0.004762954715
237	0.00475601507
238	0.00474283498
239	0.004729357992
240	0.004712080759
241	0.004705162918
242	0.004695453328
243	0.004687970527
244	0.004683205243
245	0.004666169343
246	0.00465430742
247	0.004642132254
248	0.004632554125
249	0.004618497949
250	0.004611354168
251	0.004601244615
252	0.004594917116
253	0.004586652429
254	0.004581428874
255	0.004569572694
256	0.00456456589
257	0.00455505895
