model,term,coefficient,std_error_HAC,p_value,ci_low,ci_high
adjusted_its,Intercept,9.619514480623678,0.18292620029554466,0.0,9.26098571621565,9.978043245031706
adjusted_its,time_index,0.0005135723895590971,0.00012353701410065744,3.221226977627286e-05,0.00027144429116419174,0.0007557004879540025
adjusted_its,rail_open,-0.03431945274164891,0.04645649187800958,0.4600624870537666,-0.12537250367062522,0.0567335981873274
adjusted_its,time_after_rail,-0.0003671010096143456,0.0001312379928546769,0.005154506527842891,-0.0006243227490128373,-0.00010987927021585393
adjusted_its,weekend,0.11341386433655969,0.014981512468692247,3.7249333635687574e-14,0.08405063946398512,0.14277708920913423
adjusted_its,is_holiday,0.04695659463189911,0.05885460037968746,0.424962948525864,-0.06839630243678571,0.16230949170058392
adjusted_its,eid,0.3762705878936793,0.07555249342141669,6.350095973133044e-07,0.2281904218455032,0.5243507539418554
adjusted_its,rainfall_mm,-0.0016048823679508627,0.0006825218490050211,0.018702879852074833,-0.002942600610662389,-0.00026716412523933634
adjusted_its,temp_mean_c,-0.002669855943901695,0.004491662831633037,0.5522428880025301,-0.011473353324599644,0.006133641436796254
adjusted_its,humidity_pct,-8.526421582977749e-05,0.0014299630766427224,0.9524528209750106,-0.0028879403452716024,0.0027174119136120474
adjusted_its,wind_speed_kmh,-0.004031909785771339,0.002744320957527448,0.14178315126050897,-0.009410680024543611,0.0013468604530009346
adjusted_its,dow_sin,0.006157716103680464,0.008993879077175266,0.49356082181596006,-0.011469962968891394,0.023785395176252323
adjusted_its,dow_cos,-0.053475601725775423,0.010104422624060156,1.2078976537339942e-07,-0.07327990615350503,-0.03367129729804581
adjusted_its,year_sin,0.04471157551240075,0.019137280722689092,0.01947249140152196,0.007203194533897471,0.08221995649090402
adjusted_its,year_cos,-0.04981709528436909,0.03202762298583174,0.11984094685936535,-0.1125900828470265,0.01295589227828832
lag_adjusted_sensitivity,Intercept,3.3135616125981056,0.48823879904848394,1.1467638893015578e-11,2.3566311506079884,4.270492074588223
lag_adjusted_sensitivity,time_index,0.0002055763684661019,5.385914000872741e-05,0.00013512450613160595,0.0001000143938106959,0.0003111383431215079
lag_adjusted_sensitivity,rail_open,-0.014834474796094947,0.018285607169062808,0.4172134517275593,-0.050673606282905466,0.02100465669071557
lag_adjusted_sensitivity,time_after_rail,-0.00015630870295578307,5.504790483339629e-05,0.004518383926881129,-0.00026420061385362816,-4.8416792057937974e-05
lag_adjusted_sensitivity,log_traffic_lag1,0.6543410076129821,0.050047017531677895,4.604279209494044e-39,0.5562506557172487,0.7524313595087154
lag_adjusted_sensitivity,weekend,0.05639257054581838,0.019161156299479003,0.003249778717804875,0.018837394296696758,0.09394774679494
lag_adjusted_sensitivity,is_holiday,0.05578340706239537,0.03958292577927273,0.15875252902703618,-0.021797701867701226,0.13336451599249197
lag_adjusted_sensitivity,eid,0.09329504756624218,0.06362986792036113,0.14258980568442853,-0.03141720189870617,0.21800729703119054
lag_adjusted_sensitivity,rainfall_mm,-0.0010330058657394882,0.00041306578801107057,0.012390386555378306,-0.0018425999334868433,-0.00022341179799213295
lag_adjusted_sensitivity,temp_mean_c,-0.0007072801603023949,0.0018467556313046347,0.7017307033703362,-0.00432685468590601,0.00291229436530122
lag_adjusted_sensitivity,humidity_pct,-9.732382740462232e-05,0.0006378253264889771,0.8787240092009609,-0.0013474384957505188,0.0011527908409412742
lag_adjusted_sensitivity,wind_speed_kmh,-0.0017402352160738937,0.0011086508906009475,0.1164878787224461,-0.003913151033080006,0.0004326806009322189
lag_adjusted_sensitivity,dow_sin,0.045798574055323386,0.006371054024501878,6.548800125136675e-13,0.03331153762374074,0.05828561048690603
lag_adjusted_sensitivity,dow_cos,-0.05540641848114045,0.008310081526234157,2.604215116541462e-11,-0.07169387898115104,-0.03911895798112986
lag_adjusted_sensitivity,year_sin,0.013056861969680443,0.007424862155719387,0.07865693386704523,-0.0014956004457039821,0.027609324385064866
lag_adjusted_sensitivity,year_cos,-0.01765526831929443,0.013452947520045052,0.18939473283821762,-0.04402256094449017,0.00871202430590131
