feature,importance_mean,importance_std
days_to_nearest_eid,575.3868194406679,53.633484085669714
padma_traffic_lag_1,520.6212797901852,50.87853625858302
dow_cos,311.2076423951701,33.997041704692215
jamuna_traffic_lag_1,165.73735674463072,23.60739597421864
padma_cash_lag_1,154.47385472095314,20.20651839843343
padma_cash_roll_mean_7,93.20959407590443,14.167059950038173
revenue_per_vehicle_lag_1,81.0400135471194,11.75504186050019
padma_roll7_minus_roll30,79.4994505118798,13.648802449682194
padma_traffic_lag_7,69.75672886200377,17.648583120923746
weekend,41.224316608576665,10.311331994310372
jamuna_cash_lag_1,31.650491038323782,9.926575587449246
eid_relative_day,26.700227334709492,13.728275681185949
jamuna_traffic_roll_mean_7,21.428747068892758,7.639950363416262
dow_sin,20.39043219188814,7.649370493387908
is_holiday,18.59112437635331,10.587022423173527
padma_traffic_change_1_7,14.665050328986945,5.311722562222013
padma_traffic_lag_3,14.389494033092221,7.5972112022972675
padma_traffic_lag_28,9.81702248847458,7.804761839535164
revenue_per_vehicle_roll_mean_7,8.643857566269828,8.095705989217102
padma_cash_lag_7,8.03969342548894,7.343076790171768
padma_traffic_roll_mean_7,7.480640727346266,6.574286125722676
padma_traffic_roll_mean_30,7.26542337655557,1.7202501801349503
padma_traffic_roll_std_7,4.64895390803534,4.430670295910073
jamuna_traffic_roll_mean_30,3.0284925886875347,1.1732547387628784
humidity_pct,2.8957151936191017,1.47680205627631
temp_mean_c,1.995063692131968,2.5892261806266146
padma_cash_roll_mean_30,1.981496390479333,1.1057747628901564
rainfall_mm,1.3531700091846537,2.6342864447169054
padma_traffic_roll_mean_14,1.1359016206088048,2.375411322645217
month_sin,0.7489598927670613,0.42225937674369657
jamuna_traffic_lag_2,0.5465068626524802,6.566289299533173
heavy_rain,0.5377304599621311,0.4442572039495205
doy_sin,0.27878768810402715,2.155211306074909
jamuna_traffic_lag_14,0.2664372208726945,1.1639081220138994
time_index,0.0,0.0
time_after_rail,-6.063298011819522e-14,1.545843743949804e-13
rail_open,-1.3642420526593923e-13,2.3187656159247054e-13
padma_cash_lag_14,-0.06720622564968531,1.5124997290608995
doy_cos,-0.092866663135707,2.4146089866169924
temp_max_c,-0.6604293189612539,2.647147859964261
rainy_day,-0.8001793606239214,0.5211724581290554
padma_traffic_lag_14,-1.2591377276954214,4.464535633627431
padma_traffic_lag_2,-1.5445283849990876,5.782305136282178
jamuna_cash_lag_7,-2.2404954695302877,3.076795338288146
temp_min_c,-2.332005758186915,2.3209777022297313
padma_traffic_roll_std_30,-2.8510842286979217,9.359342194314907
eid,-2.989151375780527,0.8887285278141486
jamuna_traffic_lag_7,-3.1091686547380806,2.231024706123234
month_cos,-3.15672716619124,1.41724884865047
jamuna_cash_roll_mean_7,-3.3087858339800125,1.6408133891723213
wind_speed_kmh,-5.7333765141723685,2.972617607747727
